timestamp,duration_s,source,group
2026-03-02 08:00:03,473,stream,G1
2026-03-02 08:05:36,1278,stream,G2
2026-03-02 08:05:54,389,stream,G1
2026-03-02 08:22:28,337,stream,G2
2026-03-02 08:29:49,429,stream,G3
2026-03-02 08:30:14,685,stream,G2
2026-03-02 08:35:18,728,stream,G1
2026-03-02 08:50:14,1322,stream,G3
2026-03-02 08:52:42,705,stream,G3
2026-03-02 08:54:24,683,stream,G2
2026-03-02 08:58:36,686,stream,G2
2026-03-02 08:59:20,300,stream,G2
2026-03-02 09:03:43,757,stream,G3
2026-03-02 09:05:05,656,stream,G3
2026-03-02 09:11:53,974,stream,G1
2026-03-02 09:14:29,516,stream,G2
2026-03-02 09:23:01,429,stream,G1
2026-03-02 09:27:53,1245,stream,G3
2026-03-02 09:31:49,496,stream,G2
2026-03-02 09:33:34,588,stream,G2
2026-03-02 09:37:13,529,stream,G1
2026-03-02 09:38:39,1144,stream,G2
2026-03-02 09:51:45,700,stream,G2
2026-03-02 09:55:40,955,stream,G1
2026-03-02 09:57:55,662,stream,G2
2026-03-02 10:06:35,406,stream,G3
2026-03-02 10:08:11,1086,stream,G2
2026-03-02 10:08:23,240,stream,G1
2026-03-02 10:27:17,746,stream,G2
2026-03-02 10:27:38,696,stream,G3
2026-03-02 10:28:05,294,stream,G1
2026-03-02 10:28:34,1477,stream,G1
2026-03-02 10:29:20,729,stream,G2
2026-03-02 10:33:03,1278,stream,G3
2026-03-02 10:36:19,857,stream,G3
2026-03-02 10:37:22,776,stream,G1
2026-03-02 10:57:19,535,stream,G2
2026-03-02 10:58:33,868,stream,G2
2026-03-02 11:02:38,874,stream,G3
2026-03-02 11:13:13,524,stream,G1
2026-03-02 11:13:51,525,stream,G2
2026-03-02 11:17:54,610,stream,G3
2026-03-02 11:25:33,1062,stream,G2
2026-03-02 11:31:41,1401,stream,G2
2026-03-02 11:38:26,347,stream,G1
2026-03-02 11:42:03,1262,stream,G2
2026-03-02 11:42:57,1443,stream,G2
2026-03-02 11:43:33,649,stream,G2
2026-03-02 11:49:54,1271,stream,G2
2026-03-02 11:50:00,669,stream,G3
2026-03-02 11:53:09,397,stream,G2
2026-03-02 11:58:11,1156,stream,G2
2026-03-02 12:03:44,752,stream,G2
2026-03-02 12:07:32,383,stream,G1
2026-03-02 12:26:53,677,stream,G1
2026-03-02 12:27:08,1248,stream,G2
2026-03-02 12:29:45,295,stream,G1
2026-03-02 12:33:45,441,stream,G3
2026-03-02 12:37:41,428,stream,G1
2026-03-02 12:38:53,1041,stream,G3
2026-03-02 12:41:09,766,stream,G3
2026-03-02 12:43:20,174,stream,G1
2026-03-02 12:56:44,977,stream,G1
2026-03-02 12:59:04,1527,stream,G2
2026-03-02 12:59:57,422,stream,G2
2026-03-02 13:02:18,698,stream,G2
2026-03-02 13:05:52,1213,stream,G2
2026-03-02 13:11:06,2282,stream,G2
2026-03-02 13:28:57,506,stream,G3
2026-03-02 13:43:10,566,stream,G1
2026-03-02 13:48:24,856,stream,G1
2026-03-02 13:54:17,492,stream,G1
2026-03-02 13:56:46,743,stream,G2
2026-03-02 13:58:38,1438,stream,G1
2026-03-02 13:59:21,747,stream,G2
2026-03-02 14:03:59,1074,stream,G3
2026-03-02 14:14:16,848,stream,G1
2026-03-02 14:15:27,534,stream,G1
2026-03-02 14:22:30,334,stream,G3
2026-03-02 14:30:51,611,stream,G1
2026-03-02 14:36:15,674,stream,G2
2026-03-02 14:38:03,1080,stream,G3
2026-03-02 14:40:39,1212,stream,G2
2026-03-02 14:41:11,479,stream,G1
2026-03-02 14:41:18,893,stream,G2
2026-03-02 14:42:00,898,stream,G3
2026-03-02 14:44:43,647,stream,G3
2026-03-02 14:49:53,1177,stream,G3
2026-03-02 14:57:41,460,stream,G2
